Ano,Município,Quantidade produzida (Toneladas),Valor da produção (Mil Reais),Área plantada ou destinada à colheita (Hectares),Área plantada ou destinada à colheita - percentual do total geral (Percentual)
2019,Santa Cruz do Xingu (MT),127530.0,132843.0,32700.0,73.81
2019,Santa Rita do Trivelato (MT),499200.0,482227.0,160000.0,57.4
2019,Santa Terezinha (MT),74357.0,78075.0,22130.0,53.79
2019,Santo Afonso (MT),46200.0,47725.0,14000.0,64.58
2019,Santo Antônio do Leste (MT),299880.0,355859.0,98000.0,52.22
2019,Santo Antônio do Leverger (MT),77490.0,76948.0,21000.0,52.99
2019,Sapezal (MT),1192800.0,1177341.0,355000.0,52.67
2019,Serra Nova Dourada (MT),19398.0,17458.0,6100.0,93.06
2019,Sinop (MT),526949.0,523930.0,151422.0,55.54
2019,Sorriso (MT),2141700.0,2165794.0,605000.0,52.01
2019,São Félix do Araguaia (MT),830141.0,747127.0,219614.0,67.31
2019,São José do Povo (MT),0.0,0.0,0.0,0.0
2019,São José do Rio Claro (MT),381600.0,371678.0,120000.0,58.74
2019,São José do Xingu (MT),306720.0,322056.0,85200.0,61.65
2019,São José dos Quatro Marcos (MT),7722.0,8287.0,2200.0,73.07
2019,São Pedro da Cipa (MT),7200.0,8040.0,2000.0,55.34
2019,Tabaporã (MT),499388.0,481490.0,146020.0,56.77
2019,Tangará da Serra (MT),349800.0,348471.0,106000.0,60.24
2019,Tapurah (MT),583200.0,568037.0,180000.0,57.22
2019,Terra Nova do Norte (MT),57040.0,54681.0,17285.0,56.22
2019,Tesouro (MT),89900.0,124062.0,29000.0,70.02
2019,Torixoréu (MT),51979.0,54309.0,16660.0,81.51
2019,União do Sul (MT),195840.0,178214.0,61200.0,58.75
2019,Vale de São Domingos (MT),0.0,0.0,0.0,0.0
2019,Vera (MT),451440.0,442222.0,132000.0,57.86
2019,Vila Bela da Santíssima Trindade (MT),91179.0,91179.0,24750.0,58.75
2019,Vila Rica (MT),141750.0,148838.0,37500.0,68.16
2019,Várzea Grande (MT),0.0,0.0,0.0,0.0
2019,Água Boa (MT),528000.0,484704.0,160000.0,80.55
2020,Acorizal (MT),0.0,0.0,0.0,0.0
2020,Alta Floresta (MT),95940.0,111930.0,26650.0,61.06
2020,Alto Araguaia (MT),120543.0,164541.0,35876.0,64.92
2020,Alto Boa Vista (MT),91584.0,116586.0,28800.0,80.09
2020,Alto Garças (MT),320550.0,435147.0,93728.0,67.18
2020,Alto Paraguai (MT),22680.0,29461.0,7000.0,61.37
2020,Alto Taquari (MT),157381.0,213645.0,47504.0,36.98
2020,Apiacás (MT),0.0,0.0,0.0,0.0
2020,Araguaiana (MT),12754.0,20151.0,3665.0,83.69
2020,Araguainha (MT),2108.0,2833.0,680.0,86.4
2020,Araputanga (MT),0.0,0.0,0.0,0.0
2020,Arenápolis (MT),7750.0,9943.0,2500.0,44.53
2020,Aripuanã (MT),7938.0,10057.0,2100.0,25.28
2020,Barra do Bugres (MT),4636.0,6343.0,1486.0,2.84
2020,Barra do Garças (MT),119265.0,188439.0,33129.0,93.64
2020,Barão de Melgaço (MT),0.0,0.0,0.0,0.0
2020,Bom Jesus do Araguaia (MT),365414.0,465172.0,109242.0,63.31
2020,Brasnorte (MT),855600.0,1074745.0,230000.0,58.56
2020,Campinápolis (MT),109440.0,131328.0,30400.0,78.04
2020,Campo Novo do Parecis (MT),1377060.0,1689845.0,389000.0,49.77
2020,Campo Verde (MT),753810.0,1014312.0,216612.0,54.45
2020,Campos de Júlio (MT),736838.0,887625.0,200500.0,54.04
2020,Canabrava do Norte (MT),87723.0,110089.0,25650.0,66.19
2020,Canarana (MT),940500.0,1108850.0,285000.0,74.34
2020,Carlinda (MT),44550.0,51975.0,13500.0,66.21
2020,Castanheira (MT),0.0,0.0,0.0,0.0
2020,Chapada dos Guimarães (MT),115684.0,146456.0,31266.0,50.6
2020,Cláudia (MT),361080.0,432209.0,102000.0,58.31
2020,Cocalinho (MT),40491.0,63976.0,12270.0,85.92
2020,Colniza (MT),0.0,0.0,0.0,0.0
2020,Colíder (MT),52800.0,61600.0,16000.0,61.04
2020,Comodoro (MT),270600.0,335996.0,82000.0,59.58
2020,Confresa (MT),144150.0,181743.0,38750.0,66.57
2020,Conquista D'Oeste (MT),26339.0,31607.0,6968.0,66.63
2020,Cotriguaçu (MT),2878.0,3646.0,872.0,21.84
2020,Cuiabá (MT),1176.0,1411.0,338.0,35.81
2020,Curvelândia (MT),0.0,0.0,0.0,0.0
2020,Cáceres (MT),49848.0,54002.0,13400.0,77.3
2020,Denise (MT),13070.0,15862.0,4189.0,6.88
2020,Diamantino (MT),1181952.0,1475703.0,345600.0,52.17
2020,Dom Aquino (MT),123120.0,165699.0,36000.0,48.8
2020,Feliz Natal (MT),511200.0,597199.0,142000.0,57.38
2020,Figueirópolis D'Oeste (MT),0.0,0.0,0.0,0.0
2020,Gaúcha do Norte (MT),656659.0,831330.0,205180.0,67.1
2020,General Carneiro (MT),201600.0,318528.0,56000.0,64.2
2020,Glória D'Oeste (MT),0.0,0.0,0.0,0.0
2020,Guarantã do Norte (MT),44800.0,53760.0,14000.0,54.67
2020,Guiratinga (MT),231840.0,299074.0,69000.0,67.73
2020,Indiavaí (MT),0.0,0.0,0.0,0.0
2020,Ipiranga do Norte (MT),783000.0,961681.0,225000.0,54.99
2020,Itanhangá (MT),357840.0,428900.0,105000.0,59.94
2020,Itaúba (MT),168300.0,201960.0,51000.0,61.14
2020,Itiquira (MT),604800.0,789264.0,180000.0,62.4
2020,Jaciara (MT),158536.0,213323.0,45167.0,59.53
